# Accelerometer Data File
# Started @Fri Jul 20 17:04:29 GMT+08:00 2018
#
#
# sensor Vendor: STM
# sensor Name: K2HH Acceleration 
# sensor Resolution: 0.038307227m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.82 1.104 8.528 0
-0.731 0.947 7.704 11
-0.634 0.868 6.997 9
-0.557 0.795 6.333 10
-0.464 0.709 5.703 13
-0.386 0.621 5.108 7
-0.325 0.545 4.531 10
-0.281 0.491 4.064 11
-0.267 0.422 3.689 9
-0.263 0.349 3.361 10
-0.242 0.331 3.103 10
-0.224 0.31 2.854 10
-0.207 0.286 2.651 11
-0.17 0.255 2.398 9
-0.144 0.187 2.114 10
-0.118 0.15 1.861 10
-0.083 0.121 1.621 10
-0.06 0.11 1.42 10
-0.018 0.127 1.228 10
0.011 0.146 1.056 10
0.032 0.16 0.925 10
0.023 0.155 0.862 10
0.006 0.124 0.798 10
-0.021 0.104 0.742 10
-0.029 0.081 0.682 9
-0.045 0.04 0.613 11
-0.051 0.037 0.54 11
-0.04 0.035 0.466 9
-0.035 0.034 0.413 10
-0.01 0.042 0.389 10
0.005 0.062 0.354 10
0.021 0.075 0.282 10
0.028 0.062 0.21 10
0.03 0.037 0.159 12
0.019 0.031 0.15 8
0.009 0.025 0.144 10
-0.01 0.032 0.149 10
-0.023 0.035 0.177 10
-0.014 0.001 0.197 10
-0.017 -0.016 0.176 10
-0.002 -0.03 0.128 10
-0.008 -0.015 0.082 10
-0.003 -0.003 0.066 10
0.005 0.011 0.051 10
0.015 0.022 -0.003 10
0.028 0.027 -0.026 10
0.027 0.025 -0.006 12
0.004 0.025 0.06 13
-0.005 0.016 0.071 5
-0.021 0.015 0.092 10
-0.031 0.02 0.107 10
-0.031 0.018 0.086 10
-0.024 0.036 0.087 10
-0.003 0.054 0.061 10
0.001 0.07 0.056 10
0.024 0.076 0.054 10
0.01 -0.005 0.069 10
0.0 -0.013 0.067 11
-0.021 -0.044 0.043 9
-0.043 -0.052 0.032 10
-0.054 -0.058 0.032 10
-0.074 -0.025 0.038 10
-0.073 0.009 0.05 10
-0.069 0.039 0.057 10
-0.063 0.03 0.037 10
-0.054 0.009 -0.008 10
-0.051 -0.017 -0.02 10
-0.045 -0.039 -0.031 11
-0.051 -0.04 0.005 9
-0.061 -0.036 0.074 10
-0.072 -0.018 0.095 10
-0.038 0.025 0.066 10
-0.014 0.041 0.048 11
0.003 0.039 0.05 9
0.023 0.036 0.026 10
0.019 -0.003 -0.013 10
0.008 -0.05 -0.09 11
0.015 -0.084 -0.082 8
0.035 -0.079 -0.057 11
0.041 -0.024 -0.049 11
0.052 0.019 -0.053 9
0.039 0.064 -0.026 10
0.008 0.067 -0.01 10
-0.008 0.077 -0.024 10
-0.017 0.094 -0.075 10
-0.003 0.112 -0.08 10
0.046 0.154 -0.098 10
